tier,rank,name,position,positionRank,team,bye,age,pts,adp,vbd
1,1,Antonio Brown,WR,WR1,PIT,8,,92.16,1,44.32
1,2,Todd Gurley,RB,RB1,LA,8,,90.72,2,41.03
1,3,David Johnson,RB,RB2,ARI,9,,88.48,3,38.79
1,4,Julio Jones,WR,WR2,ATL,11,,86.24,5,38.4
1,5,Odell Beckham Jr,WR,WR3,NYG,8,,85.18,4,37.34
1,6,Tyler Lockett,WR,WR4,SEA,5,,84.16,6,36.32
1,7,Ezekiel Elliott,RB,RB3,DAL,7,,82.72,8,33.03
1,8,Adrian Peterson,RB,RB4,MIN,6,,82.04,7,32.35
1,9,Rob Gronkowski,TE,TE1,NE,9,,68.45,9,32.54
2,10,Lamar Miller,RB,RB5,HOU,9,,78.88,10,29.19
2,11,Jamaal Charles,RB,RB6,KC,5,,78.84,12,29.15
2,12,DeAndre Hopkins,WR,WR5,HOU,9,,76.32,13,28.48
2,13,A.J. Green,WR,WR6,CIN,9,,75.52,14,27.68
1,14,Cam Newton,QB,QB1,CAR,7,,125.52,11,27.89
2,15,LeVeon Bell,RB,RB7,PIT,8,,75.11,15,25.41
2,16,Devonta Freeman,RB,RB8,ATL,11,,74.88,16,25.19
2,17,Mark Ingram,RB,RB9,NO,5,,74.61,18,24.92
2,18,Doug Martin,RB,RB10,TB,6,,73.72,17,24.03
3,19,Allen Robinson,WR,WR7,JAX,5,,69.12,21,21.28
2,20,Eddie Lacy,RB,RB11,GB,4,,70.84,19,21.15
3,21,Dez Bryant,WR,WR8,DAL,7,,68.42,22,20.58
2,22,LeSean McCoy,RB,RB12,BUF,10,,70.29,20,20.6
3,23,Brandon Marshall,WR,WR9,NYJ,11,,67.3,23,19.46
3,24,Jordy Nelson,WR,WR10,GB,4,,66.69,25,18.85
3,25,C.J. Anderson,RB,RB13,DEN,11,,68.44,24,18.75
1,26,Russell Wilson,QB,QB2,SEA,5,,116.24,26,18.61
3,27,T.Y. Hilton,WR,WR11,IND,10,,65.6,30,17.76
3,28,Mike Evans,WR,WR12,TB,6,,64.86,28,17.02
3,29,Alshon Jeffery,WR,WR13,CHI,9,,64.74,29,16.9
3,30,Latavius Murray,RB,RB14,OAK,10,,66.4,27,16.71
3,31,Keenan Allen,WR,WR14,SD,11,,63.78,34,15.94
1,32,Aaron Rodgers,QB,QB3,GB,4,,114.32,33,16.69
3,33,Carlos Hyde,RB,RB15,SF,8,,65.17,37,15.48
3,34,Matt Forte,RB,RB15,NYJ,11,,65.17,31,15.48
3,35,Jarvis Landry,WR,WR15,MIA,8,,63.04,40,15.2
3,36,Amari Cooper,WR,WR15,OAK,10,,63.04,36,15.2
3,37,Demaryius Thomas,WR,WR15,DEN,11,,63.04,39,15.2
3,38,Thomas Rawls,RB,RB17,SEA,5,,64.85,32,15.16
3,39,Brandin Cooks,WR,WR18,NO,5,,62.4,43,14.56
3,40,Sammy Watkins,WR,WR19,BUF,10,,62.16,42,14.32
3,41,Melvin Gordon,RB,RB18,SD,11,,63.52,38,13.83
3,42,Ted Ginn,WR,WR20,CAR,7,,61.12,44,13.28
2,43,Jordan Reed,TE,TE2,WAS,9,,49.41,35,13.51
2,44,Greg Olsen,TE,TE3,CAR,7,,48.64,41,12.74
2,45,Andrew Luck,QB,QB4,IND,10,,109.92,46,12.29
4,46,Randall Cobb,WR,WR21,GB,4,,58.78,49,10.94
4,47,Jeremy Maclin,WR,WR22,KC,5,,58.62,51,10.78
2,48,Travis Kelce,TE,TE4,KC,5,,46.77,45,10.87
4,49,Ryan Mathews,RB,RB19,PHI,4,,59.89,48,10.19
4,50,Markus Wheaton,WR,WR23,PIT,8,,57.44,56,9.6
4,51,Jeremy Hill,RB,RB20,CIN,9,,59.52,47,9.83
4,52,Ameer Abdullah,RB,RB21,DET,10,,59.09,50,9.4
4,53,Jonathan Stewart,RB,RB22,CAR,7,,58.26,52,8.57
4,54,Tavon Austin,WR,WR24,LA,8,,56.06,61,8.22
4,55,Doug Baldwin,WR,WR25,SEA,5,,55.9,55,8.06
4,56,Golden Tate,WR,WR26,DET,10,,55.68,59,7.84
4,57,Eric Decker,WR,WR27,NYJ,11,,55.58,60,7.74
4,58,Jeremy Langford,RB,RB23,CHI,9,,57.28,57,7.59
2,59,Delanie Walker,TE,TE5,TEN,13,,43.89,53,7.99
4,60,DeMarco Murray,RB,RB24,TEN,13,,57.08,54,7.39
2,61,Drew Brees,QB,QB5,NO,5,,105.04,65,7.41
4,62,Duke Johnson,RB,RB25,CLE,13,,56.16,63,6.47
4,63,Travis Benjamin,WR,WR28,SD,11,,53.92,70,6.08
4,64,Giovani Bernard,RB,RB26,CIN,9,,55.68,64,5.99
4,65,Frank Gore,RB,RB27,IND,10,,55.48,69,5.79
4,66,Donte Moncrief,WR,WR29,IND,10,,53.28,73,5.44
4,67,Larry Fitzgerald,WR,WR29,ARI,9,,53.28,72,5.44
2,68,Coby Fleener,TE,TE6,NO,5,,42.13,58,6.23
4,69,Michael Floyd,WR,WR31,ARI,9,,53.18,66,5.34
2,70,Blake Bortles,QB,QB6,JAX,5,,103.6,74,5.97
2,71,Zach Ertz,TE,TE7,PHI,4,,41.71,62,5.81
2,72,Tom Brady,QB,QB7,NE,9,,102.99,68,5.36
4,73,Matt Jones,RB,RB28,WAS,9,,54.21,71,4.51
2,74,Gary Barnidge,TE,TE8,CLE,13,,40.8,67,4.9
4,75,DeSean Jackson,WR,WR32,WAS,9,,51.78,77,3.94
4,76,Rashad Jennings,RB,RB29,NYG,8,,52.98,76,3.29
3,77,Antonio Gates,TE,TE9,SD,11,,39.71,78,3.8
4,78,Emmanuel Sanders,WR,WR33,DEN,11,,50.56,84,2.72
4,79,Julian Edelman,WR,WR34,NE,9,,50.5,82,2.66
5,80,DeVante Parker,WR,WR35,MIA,8,,49.98,86,2.14
2,81,Eli Manning,QB,QB8,NYG,8,,100.56,79,2.93
5,82,Kelvin Benjamin,WR,WR36,CAR,7,,49.92,81,2.08
4,83,Arian Foster,RB,RB30,MIA,8,,51.9,80,2.21
5,84,Corey Coleman,WR,WR37,CLE,13,,49.76,92,1.92
3,85,Tyler Eifert,TE,TE10,CIN,9,,38.64,75,2.73
5,86,Jordan Matthews,WR,WR38,PHI,4,,49.66,87,1.82
5,87,John Brown,WR,WR39,ARI,9,,49.63,89,1.79
4,88,Isaiah Crowell,RB,RB31,CLE,13,,51.68,88,1.99
2,89,Carson Palmer,QB,QB9,ARI,9,,99.95,90,2.31
3,90,Ben Roethlisberger,QB,QB10,PIT,8,,99.91,94,2.27
5,91,Michael Crabtree,WR,WR40,OAK,10,,49.28,85,1.44
3,92,Julius Thomas,TE,TE11,JAX,5,,38.17,83,2.26
5,93,Allen Hurns,WR,WR41,JAX,5,,49.12,99,1.28
3,94,Jameis Winston,QB,QB11,TB,6,,99.52,93,1.89
3,95,Tyrod Taylor,QB,QB12,BUF,10,,99.46,91,1.83
5,96,Marvin Jones,WR,WR42,DET,10,,47.36,100,-0.48
5,97,Danny Woodhead,RB,RB32,SD,11,,49.08,97,-0.61
3,98,Dwayne Allen,TE,TE12,IND,10,,36.41,98,0.5
5,99,Sterling Shepard,WR,WR43,NYG,8,,47.04,103,-0.8
